model,dataset,scale,psnr,ssim,lpips,fid,time_avg
DDPM,Set5,4,15.058947162724138,0.37717418396030256,0.6390907526016235,,157.62738823890686
DDIM,Set5,4,11.362357404947971,0.19788249054825638,0.9798927187919617,,7.92516303062439
ESRGAN,Set5,4,27.766297930691348,0.8298967600684722,0.2213713377714157,,0.06665310859680176
DDPM,Set14,4,15.799005563674077,0.35084425284745147,0.6515895426273346,,361.4402143444334
DDIM,Set14,4,12.895027924677128,0.20726028253631368,0.9529397998537336,,18.073596136910574
ESRGAN,Set14,4,25.212653095062432,0.7254133381327715,0.3164470014827592,,0.12606062207903182
DDPM,BSD100,4,16.653714750713906,0.3392314918969392,0.6724969553947449,,220.14462579727171
DDIM,BSD100,4,13.302665256123287,0.20928617520121306,0.8908217775821686,,10.986702036857604
ESRGAN,BSD100,4,24.96323400375026,0.6893242863009706,0.3866167004406452,,0.07567139387130738
