ablation,value,psnr,lpips
steps,100,11.79124211621457,1.1443320172173637
steps,200,12.753011720659767,1.031482560294015
steps,300,13.113895758532353,0.9680565808500562
schedule,linear,12.897038419583373,0.9525218605995178
schedule,cosine,12.778152201839157,1.0068383855479104
